DATE,CPALTT01CAQ659N
2010-01-01,1.6138497652582
2010-04-01,1.39656677334886
2010-07-01,1.8308631211857
2010-10-01,2.26349390597796
2011-01-01,2.5989026855328
2011-04-01,3.35724533715923
2011-07-01,2.99657534246575
2011-10-01,2.69580022701474
2012-01-01,2.33605403884041
2012-04-01,1.58245419211549
2012-07-01,1.21917428650596
2012-10-01,0.939486045869026
2013-01-01,0.907590759075908
2013-04-01,0.76523640338892
2013-07-01,1.14973993977552
2013-10-01,0.930741856008762
2014-01-01,1.39002452984465
2014-04-01,2.22403037700027
2014-07-01,2.08389715832207
2014-10-01,1.9256848386222
2015-01-01,1.07526881720429
2015-04-01,0.902096046696749
2015-07-01,1.19300106044537
2015-10-01,1.33049494411919
2016-01-01,1.54255319148938
2016-04-01,1.55140678411779
2016-07-01,1.23133350799057
2016-10-01,1.39180672268906
2017-01-01,1.91199580932424
2017-04-01,1.32055929570171
2017-07-01,1.37163561076605
2017-10-01,1.78710178710181
2018-01-01,2.05602672834747
2018-04-01,2.3000255558395
2018-07-01,2.68062292570846
2018-10-01,2.03562340966921
2019-01-01,1.61168471417781
2019-04-01,2.14838870846865
2019-07-01,1.93933366484338
2019-10-01,2.09476309226933
